name,quadrant,ring,isNew,description,pros,cons,usedBy
Vue,Programmering,BRUK,FALSE,"Vue er et open source JavaScript rammeverk laget for å utvikle websites eller web apps. Vue kan brukes til alt fra kjapp prototyping til store applikasjoner.

Rammeverket er enkelt å ta i bruk, bruker et HTML templating system, og har god dokumentasjon. Vues kjerneteam står bak tooling og støtterammeverk, og gjør med det at utviklere har en mer ensartet måte å utvikle løsninger på. Men også litt mindre frihet. Dette gjør at det er lett å hoppe fra en vue app til en annen.

Vue blir stadig mer populært, men ligger godt bak React. Selv om disse to ligner på hverandre er det også en del forskjeller.

Vue 3 er en vesentlig oppgradering som er standard fra februar 2022. Mange forbedringer, og også mulighet til å velge ""gamle"" måten å kode Vue-apps på eller den nye, mer fleksible måten å gjøre ting på.","- Oppleves som enklere enn React
- Separasjon av markup, styling og funksjon med Single File Components
- Options API (som var eneste valget i v2 tidligere) krevde en svært ensartet måte å lage komponenter på, noe som gjorde at apper ble laget på noenlunde samme måte. Gjorde det enkelt å bytte mellom apper som utvikler.
- Vue 3 gir bl.a større muligheter til deling av kode mellom komponenter og større frihet som utvikler","- Kan ikke bruke Typescript i templates i Vue 2, dette er enklere i versjon 3","Dataspeilet, Skjema, Designsystem"
Vuex,Programmering,VURDER,FALSE,"Vuex er en lettvekts sentralisert state management bibliotek som har en bestemt fremgangsmåte (pattern) for å håndtere data. Frem til Vue 3 kom har Vuex vært det klare valget for denne oppgaven, men fremover vil det nok komme flere alternativer. Evan You selv anbefaler å bruke Pinia fremover.","- Enkel og grei håndtering av state
- Gode debuggingsmuligheter i Devtools","- Verbost
- I Vue 3 er det ikke Vuex som anbefales lenger, men Pinia.","Skjema, Dataspeilet, Min side"
Java,Programmering,VURDER,FALSE,"Java er et statisk typet objektorientert programmeringsspråk. Kompileres til bytekode som kjører på en virtuell maskin (JVM). Språket og JVM-en er solid og økosystemet er kjemperikt, men språket begynner å bli stort. Moderne Java har tatt til seg mye bra fra JVM-økosystemet (f.eks. features fra Kotlin og Scala) og har en hyppigere oppdateringsfrekvens.","- Solid plattform
- Rikt økosystem
- Mange nye features i nyere versjoner
- Lett tilgang på mye kompetanse","- Tregere adopsjon av nye konsepter enn f.eks. Kotlin
- Tradisjonelt mye boilerplate
- Anses som litt ""kjedelig""
- Treg oppstartstid, ikke like egnet til f.eks. serverless eller kommandolinje",Dataplattform
Golang,Programmering,VURDER,FALSE,"Go er et moderne statisk typet og kompilert lavnivåspråk. Innebygget støtte for lettvekts ""tråder"" og synkronisering mellom de (goroutines og channels). Bra alternativ for å lage f.eks. kommandolinjeverktøy. Pakker applikasjon som én binærfil som enkelt kan distribueres. Støtter krysskompilering mot andre plattformer.","- Kjapt (kompilering og kjøretid)
- ""Batteries included"" (bygg, testing, formattering, osv.)","- Lavnivå (C-ish)
- Har ikke klasser og arv","Veiviser, Skjema"
Express.js,Programmering,BRUK,FALSE,Express.js er en asynkron webserver bygget på node.js. Veldig bra å bruke hvis du vil skrive backend i javascript. ,,,"Skjema, Dataspeilet"
OpenAPI for API dokumentasjon,Programmering,BRUK,FALSE,"Stardard for dokumentasjon av API-er med moden verktøystøtte i flere språk. Mulighet til å genere API med eller uten klienter fra spesifikasjon. Noen webrammeverk lar deg gå andre veien og generere spesifikasjonen fra kode.

Standarden krever kun at man dokumenterer struktur på APIer og dataformater (syntaks), dette bør berikes med eksempler og beskrivelser på f.eks. gyldige verdier (semantikk).","- Etablert standard
- God verktøystøtte for automatisk genering av kode både med og uten klienter
","- Ktor-støtte er i beta
- Ofte dårlig dokumentasjon av bruk av APIet og gyldige verdier (semantikk)","Booking, Barnehagepris, Dataplattform, Dataspeilet"
Knockout.js,Programmering,AVSTÅ,FALSE,Knockout er en javascript implementasjon av Model-View-ViewModel patternet med bruk av templates. ,,,Skjema
Redux,Programmering,BRUK,FALSE,"Redux er global statehåndtering i større Single Page applikasjoner. Redux består av tre deler en global state, actions som kan utløse endringer i state og selectors som henter ut data og lytter på state.

Det kan være vanskelig å forstå om du skal bruke redux eller du skal bruke use context(hooks). Hvis du ser forenklet på det bruker du hooks for å ungå prop drilling, Redux bruker du for global state håndtering.

Redux kan være komplekst, men det løsere en enda med kompleks problemstiling på en enkel måte. Det anbefales å bruke redux toolkit når du tar i bruk redux. ","- Gjør det lettere å debugge endringer i state i kompleks apper.
- Samler logikk en plass og gjør den testbar. ",- Redux er kompleks å forholde seg til i seg selv.,Booking
Svelte,Programmering,VURDER,TRUE,"Svelte er et frontend-rammeverk for å lage dynamiske webapplikasjoner, tilsvarende React og Vue. Svelte skiller seg blant annet ut ved ikke å bruke en virtuell dom.","- Ingen virtuell dom
- Ekte reaktivt
- Mindre kode","- Ikke støttet av Origo sitt design-system
- Lite i bruk i Origo",Vitalia
Kotlin,Programmering,BRUK,FALSE,"Kotlin er et statisk typet objektorientert programmeringsspråk utviklet av JetBrains (som lager IntelliJ IDEA). Støtter flere plattformer, blant annet Java VMen, Android og Javascript. Fokus på å være konsist, trygt og uttrykkskraftig. Har for eksempel bedre håndtering av ""null""-verdier enn Java og god støtte for asynkrone programmer (coroutines) og funksjonell programmering.","- Kompatibelt med Java og JVMen (biblioteker osv.)
- Mindre boilerplate
- Tryggere kode (null-håndtering, osv.)
- God støtte for funksjonell programmering","- Økosystem og biblioteker fortsatt noe umodent, kan være bedre å lene seg på Java-bibliotek heller enn ""Kotlin native"" alternativer
- Bundet til IntelliJ ?
- Treg oppstartstid, ikke like egnet til f.eks. serverless eller kommandolinje","Booking, Skjema, Dataplattform, Barnehagepris, Legevaktmottak, Veiviser, Informasjonsflyt, Vitalia"
